pid,rank,access_state
1009707448,12,3
1010133450,12,3
1011160348,12,3
1012593248,12,3
1013064002,12,3
1013578736,12,3
1014678702,12,3
1016645150,12,3
1018251719,12,3
1018758031,12,3
102033860,12,3
1020380594,12,3
1023712819,12,3
1024892194,12,3
1026907143,12,3
1027153476,12,3
1027233086,12,3
1027833714,12,3
1028235215,12,3
1029550270,12,3
1032621927,12,3
1037218228,12,3
1038392820,12,3
1040604439,12,3
1040750022,12,3
1041731986,12,3
1041832968,12,3
1042777692,12,3
1045590229,12,3
1047211576,12,3
104786068,12,3
1051628710,12,3
1054638919,12,3
1054944326,12,3
1055079803,12,3
1055165264,12,3
1055168795,12,3
1055200802,12,3
1055456574,12,3
1056976630,12,3
1058600097,12,3
1060280239,12,3
1063623133,12,3
1063912451,12,3
1067123162,12,3
1068021667,12,3
1071299582,12,3
1073906950,12,3
1078582981,12,3
1085015473,12,3
1086029179,12,3
1087353724,12,3
1088545152,12,3
1089898259,12,3
1092517591,12,3
1096268523,12,3
1096586532,12,3
1096664587,12,3
1097010063,12,3
1101262297,12,3
1101336426,12,3
1102724446,12,3
1104571706,12,3
1107326053,12,3
1108474704,12,3
1108752505,12,3
1110844270,12,3
1111362649,12,3
1111547591,12,3
1113721642,12,3
1116670507,12,3
1118249477,12,3
112023120,12,3
1123212105,12,3
1123348336,12,3
1124259668,12,3
1124941667,12,3
1125001114,12,3
1125398887,12,3
1127706287,12,3
1128743858,12,3
1130132807,12,3
1131027689,12,3
1135045326,12,3
1136559047,12,3
1137103966,12,3
113741796,12,3
1137749653,12,3
1138126321,12,3
114174602,12,3
114547059,12,3
1146589544,12,3
1152713565,12,3
1158392447,12,3
1158971921,12,3
1160739772,12,3
1161253575,12,3
116781145,12,3
1168826257,12,3
1178675791,12,3
117984178,12,3
1179903109,12,3
118066557,12,3
1181734352,12,3
1186506233,12,3
1190802517,12,3
1193147142,12,3
1195037819,12,3
1195282675,12,3
1198218832,12,3
1198780553,12,3
1199470277,12,3
1203989475,12,3
1204585776,12,3
1204592597,12,3
1204661185,12,3
120746055,12,3
1207965089,12,3
1208089505,12,3
1209845647,12,3
121603805,12,3
1217256127,12,3
1224427958,12,3
1225639380,12,3
1227348921,12,3
1227617093,12,3
1228630197,12,3
1232165723,12,3
123484540,12,3
123567487,12,3
1237366691,12,3
1238771995,12,3
123900394,12,3
124303434,12,3
1246428688,12,3
125157346,12,3
1252080028,12,3
1255203670,12,3
1256119901,12,3
1256448982,12,3
1261881526,12,3
1265063394,12,3
1266415361,12,3
126772127,12,3
1268288115,12,3
1268943778,12,3
1276834894,12,3
1276950278,12,3
1279634467,12,3
1282024332,12,3
1294186839,12,3
1299307183,12,3
130180163,12,3
1302292427,12,3
134296590,12,3
144243573,12,3
145768730,12,3
1463366,12,3
147288659,12,3
15018915,12,3
150806462,12,3
151745748,12,3
154762256,12,3
161778558,12,3
161870591,12,3
162272229,12,3
163021337,12,3
165823428,12,3
166649812,12,3
1676892,12,3
173692037,12,3
176637204,12,3
182480734,12,3
185594336,12,3
188336265,12,3
195319007,12,3
196156881,12,3
197686480,12,3
205437441,12,3
20634118,12,3
206603821,12,3
208136438,12,3
212191758,12,3
2161118,12,3
217685789,12,3
220819465,12,3
240170947,12,3
240192250,12,3
243879493,12,3
251389432,12,3
256909081,12,3
288053944,12,3
288257398,12,3
293430721,12,3
297404400,12,3
298418941,12,3
304246352,12,3
305809555,12,3
316355739,12,3
318613585,12,3
319081019,12,3
319490722,12,3
319979927,12,3
320937550,12,3
324985871,12,3
326155862,12,3
326682308,12,3
332575280,12,3
334792060,12,3
3349775,12,3
33797214,12,3
340133705,12,3
341205838,12,3
342198261,12,3
34226074,12,3
342916303,12,3
346462451,12,3
348339168,12,3
362703838,12,3
365619834,12,3
366573373,12,3
37122234,12,3
371694021,12,3
383416697,12,3
384361478,12,3
385560335,12,3
386309246,12,3
386563021,12,3
391738753,12,3
392233785,12,3
393428576,12,3
398873481,12,3
404566712,12,3
405231626,12,3
406015131,12,3
408089460,12,3
408590000,12,3
415874304,12,3
416137797,12,3
417306622,12,3
41957534,12,3
425068889,12,3
425450006,12,3
429254386,12,3
431386823,12,3
442738487,12,3
449697042,12,3
450051492,12,3
451777596,12,3
454633732,12,3
458062027,12,3
458428484,12,3
464461322,12,3
473506826,12,3
480542235,12,3
48140968,12,3
483200062,12,3
485206066,12,3
52110012,12,3
56105926,12,3
56648090,12,3
62449835,12,3
63803915,12,3
79490803,12,3
8207407,12,3
840710512,12,3
846917308,12,3
850999663,12,3
853769778,12,3
854378846,12,3
855859160,12,3
856309199,12,3
859140370,12,3
861168734,12,3
868279077,12,3
868282665,12,3
868879935,12,3
868969483,12,3
873361576,12,3
874310048,12,3
880752721,12,3
883275508,12,3
883572688,12,3
885058171,12,3
886185006,12,3
887458255,12,3
889544534,12,3
890940185,12,3
891065873,12,3
895191774,12,3
897745074,12,3
898261653,12,3
900138066,12,3
900774049,12,3
902351086,12,3
902521937,12,3
906739407,12,3
907756824,12,3
908078960,12,3
909321638,12,3
909748571,12,3
923921516,12,3
924016917,12,3
924241387,12,3
924345578,12,3
925123210,12,3
925671297,12,3
927129810,12,3
928047416,12,3
928881517,12,3
9303768,12,3
930633829,12,3
931242973,12,3
932323267,12,3
932674796,12,3
93941941,12,3
943394588,12,3
954530981,12,3
95579804,12,3
964392724,12,3
966780550,12,3
983455180,12,3
983546507,12,3
985220768,12,3
990005911,12,3
990429181,12,3
991026200,12,3
994752543,12,3
995805027,12,3
1004045303,12,3
1005708627,12,3
1006603318,12,3
1007597589,12,3
1012412731,12,3
1016403284,12,3
1021689073,12,3
1027020690,12,3
103445483,12,3
1037133193,12,3
1042560234,12,3
1043306993,12,3
1043779073,12,3
1058467975,12,3
